調査年,地域,A1801_人口集中地区人口【人】,A1802_人口集中地区面積【ｋｍ2】,C620114_付加価値額（民営）（金融業、保険業）【百万円】
2015年度,岩手県 洋野町,-,-,354
2015年度,岩手県 一戸町,-,-,260
2015年度,宮城県 仙台市,"1,001,882",149.1,"181,060"
2015年度,宮城県 仙台市 青葉区,"282,363",36.94,"140,951"
2015年度,宮城県 仙台市 宮城野区,"185,503",33.78,"17,251"
2015年度,宮城県 仙台市 若林区,"127,601",18.58,"7,533"
2015年度,宮城県 仙台市 太白区,"213,062",30.03,"6,541"
2015年度,宮城県 仙台市 泉区,"193,353",29.77,"8,784"
2015年度,宮城県 石巻市,"79,059",20.89,"10,981"
2015年度,宮城県 塩竈市,"48,583",11.16,"4,269"
2015年度,宮城県 気仙沼市,"11,733",3.02,"3,894"
2015年度,宮城県 白石市,"12,478",3.93,"1,740"
2015年度,宮城県 名取市,"53,733",10.53,"4,167"
2015年度,宮城県 角田市,"6,308",1.96,"1,515"
2015年度,宮城県 多賀城市,"59,026",12.22,"1,353"
2015年度,宮城県 岩沼市,"33,812",6.72,"2,098"
2015年度,宮城県 登米市,"7,341",2.12,"3,124"
2015年度,宮城県 栗原市,-,-,"2,426"
2015年度,宮城県 東松島市,"19,350",3.43,959
2015年度,宮城県 大崎市,"37,903",7.86,"6,342"
2015年度,宮城県 富谷市,"36,121",5.6,X
2015年度,宮城県 蔵王町,-,-,446
2015年度,宮城県 七ヶ宿町,-,-,X
2015年度,宮城県 大河原町,"16,263",3.92,X
2015年度,宮城県 村田町,-,-,250
2015年度,宮城県 柴田町,"22,782",4.88,862
2015年度,宮城県 川崎町,-,-,X
2015年度,宮城県 丸森町,-,-,X
2015年度,宮城県 亘理町,"5,130",1.37,932
2015年度,宮城県 山元町,-,-,X
2015年度,宮城県 松島町,"6,928",1.79,X
2015年度,宮城県 七ヶ浜町,"7,505",1.15,275
2015年度,宮城県 利府町,"12,254",2.34,881
2015年度,宮城県 大和町,"16,783",3.07,600
2015年度,宮城県 大郷町,-,-,0
2015年度,宮城県 大衡村,-,-,X
2015年度,宮城県 色麻町,-,-,0
2015年度,宮城県 加美町,-,-,"1,045"
2015年度,宮城県 涌谷町,-,-,619
2015年度,宮城県 美里町,-,-,X
2015年度,宮城県 女川町,-,-,243
2015年度,宮城県 南三陸町,-,-,371
2015年度,秋田県 秋田市,"250,569",54.76,"56,435"
2015年度,秋田県 能代市,"19,104",5.62,"2,751"
2015年度,秋田県 横手市,"12,603",3.91,"4,743"
2015年度,秋田県 大館市,"24,156",7.47,"4,366"
2015年度,秋田県 男鹿市,-,-,979
2015年度,秋田県 湯沢市,"10,378",2.89,"1,712"
2015年度,秋田県 鹿角市,-,-,"1,980"
2015年度,秋田県 由利本荘市,"18,059",4.72,"3,486"
2015年度,秋田県 潟上市,-,-,620
2015年度,秋田県 大仙市,"16,987",5.03,"3,452"
2015年度,秋田県 北秋田市,-,-,969
2015年度,秋田県 にかほ市,"5,780",2.23,721
2015年度,秋田県 仙北市,-,-,984
2015年度,秋田県 小坂町,-,-,120
2015年度,秋田県 上小阿仁村,-,-,0
2015年度,秋田県 藤里町,-,-,X
2015年度,秋田県 三種町,-,-,X
2015年度,秋田県 八峰町,-,-,82
2015年度,秋田県 五城目町,-,-,297
2015年度,秋田県 八郎潟町,-,-,199
2015年度,秋田県 井川町,-,-,X
2015年度,秋田県 大潟村,-,-,X
2015年度,秋田県 美郷町,-,-,307
2015年度,秋田県 羽後町,-,-,206
2015年度,秋田県 東成瀬村,-,-,0
2015年度,山形県 山形市,"180,878",33,"42,374"
2015年度,山形県 米沢市,"45,777",13.01,"6,219"
2015年度,山形県 鶴岡市,"58,040",14.14,"11,861"
2015年度,山形県 酒田市,"58,133",16.19,"5,829"
2015年度,山形県 新庄市,"18,853",4.98,"2,944"
2015年度,山形県 寒河江市,"20,069",6.72,"1,938"
2015年度,山形県 上山市,"16,671",3.93,"1,012"
2015年度,山形県 村山市,"7,275",2.11,"1,326"
2015年度,山形県 長井市,"10,331",3.71,"1,953"
2015年度,山形県 天童市,"37,683",7.81,"3,345"
2015年度,山形県 東根市,"18,120",5.7,"1,759"
2015年度,山形県 尾花沢市,-,-,408
2015年度,山形県 南陽市,"6,779",1.64,"1,751"
2015年度,山形県 山辺町,"6,882",1.79,226
2015年度,山形県 中山町,-,-,233
2015年度,山形県 河北町,"5,521",1.46,X
2015年度,山形県 西川町,-,-,112
2015年度,山形県 朝日町,-,-,X
2015年度,山形県 大江町,-,-,179
2015年度,山形県 大石田町,-,-,X
2015年度,山形県 金山町,-,-,X
2015年度,山形県 最上町,-,-,205
2015年度,山形県 舟形町,-,-,X
2015年度,山形県 真室川町,-,-,X
2015年度,山形県 大蔵村,-,-,X
2015年度,山形県 鮭川村,-,-,0
2015年度,山形県 戸沢村,-,-,X
2015年度,山形県 高畠町,-,-,606
2015年度,山形県 川西町,-,-,331
2015年度,山形県 小国町,-,-,216
2015年度,山形県 白鷹町,-,-,215
2015年度,山形県 飯豊町,-,-,26
2015年度,山形県 三川町,-,-,189
2015年度,山形県 庄内町,-,-,775
2015年度,山形県 遊佐町,-,-,206
2015年度,福島県 福島市,"192,047",40.01,"55,357"
2015年度,福島県 会津若松市,"87,065",16.68,"11,420"
2015年度,福島県 郡山市,"240,314",47.77,"37,964"
2015年度,福島県 いわき市,"173,057",46.46,"23,032"
2015年度,福島県 白河市,"21,512",6.14,"5,233"
2015年度,福島県 須賀川市,"31,131",7.64,"3,201"
2015年度,福島県 喜多方市,"11,901",4.42,"1,644"
2015年度,福島県 相馬市,"8,816",2.41,"3,153"
2015年度,福島県 二本松市,"9,695",2.48,"2,204"
2015年度,福島県 田村市,-,-,X
2015年度,福島県 南相馬市,"19,265",5.73,"3,999"
2015年度,福島県 伊達市,"15,904",3.45,"1,691"
2015年度,福島県 本宮市,-,-,"1,348"
2015年度,福島県 桑折町,"5,052",1.18,X
2015年度,福島県 国見町,-,-,X
2015年度,福島県 川俣町,-,-,572
2015年度,福島県 大玉村,-,-,0
2015年度,福島県 鏡石町,-,-,309
2015年度,福島県 天栄村,-,-,X
2015年度,福島県 下郷町,-,-,105
2015年度,福島県 檜枝岐村,-,-,0
2015年度,福島県 只見町,-,-,97
2015年度,福島県 南会津町,-,-,638
2015年度,福島県 北塩原村,-,-,X
2015年度,福島県 西会津町,-,-,117
2015年度,福島県 磐梯町,-,-,X
2015年度,福島県 猪苗代町,-,-,473
2015年度,福島県 会津坂下町,-,-,735
2015年度,福島県 湯川村,-,-,"1,034"
2015年度,福島県 柳津町,-,-,X
2015年度,福島県 三島町,-,-,45
2015年度,福島県 金山町,-,-,X
2015年度,福島県 昭和村,-,-,0
2015年度,福島県 会津美里町,-,-,286
2015年度,福島県 西郷村,-,-,338
2015年度,福島県 泉崎村,-,-,X
2015年度,福島県 中島村,-,-,X
2015年度,福島県 矢吹町,-,-,572
2015年度,福島県 棚倉町,-,-,509
2015年度,福島県 矢祭町,-,-,X
2015年度,福島県 塙町,-,-,X
2015年度,福島県 鮫川村,-,-,X
2015年度,福島県 石川町,-,-,"1,077"
2015年度,福島県 玉川村,-,-,X
2015年度,福島県 平田村,-,-,75
2015年度,福島県 浅川町,-,-,X
2015年度,福島県 古殿町,-,-,105
2015年度,福島県 三春町,-,-,289
2015年度,福島県 小野町,-,-,X
2015年度,福島県 広野町,-,-,X
2015年度,福島県 楢葉町,-,-,X
2015年度,福島県 富岡町,-,-,0
2015年度,福島県 川内村,-,-,X
2015年度,福島県 大熊町,-,-,0
2015年度,福島県 双葉町,-,-,0
2015年度,福島県 浪江町,-,-,0
2015年度,福島県 葛尾村,-,-,0
2015年度,福島県 新地町,-,-,X
2015年度,福島県 飯舘村,-,-,X
2015年度,茨城県 水戸市,"172,333",34.68,"72,285"
2015年度,茨城県 日立市,"154,590",40.71,"14,343"
2015年度,茨城県 土浦市,"86,641",22.12,X
2015年度,茨城県 古河市,"50,088",9.59,"9,932"
2015年度,茨城県 石岡市,"27,708",7.11,"3,974"
2015年度,茨城県 結城市,"20,457",4.54,X
2015年度,茨城県 龍ケ崎市,"43,391",7.74,"2,813"
2015年度,茨城県 下妻市,"6,147",1.93,"2,327"
2015年度,茨城県 常総市,"10,655",2.87,"3,058"
2015年度,茨城県 常陸太田市,"8,039",2.46,"2,015"
2015年度,茨城県 高萩市,"8,010",2.74,"1,222"
2015年度,茨城県 北茨城市,-,-,"1,818"
2015年度,茨城県 笠間市,"6,646",1.83,"3,020"
2015年度,茨城県 取手市,"76,546",12.78,"9,145"
2015年度,茨城県 牛久市,"66,642",9.9,"4,094"
2015年度,茨城県 つくば市,"74,124",16.65,"22,042"
2015年度,茨城県 ひたちなか市,"94,645",23.86,"7,563"
2015年度,茨城県 鹿嶋市,"18,116",3.97,"4,883"
2015年度,茨城県 潮来市,-,-,"1,289"
2015年度,茨城県 守谷市,"46,565",7.21,"5,068"
2015年度,茨城県 常陸大宮市,-,-,"2,129"
2015年度,茨城県 那珂市,"5,873",1.16,"2,104"
2015年度,茨城県 筑西市,"13,056",3.49,"10,062"
2015年度,茨城県 坂東市,"8,861",2.39,"1,627"
2015年度,茨城県 稲敷市,-,-,"1,394"
2015年度,茨城県 かすみがうら市,"15,176",2.86,"1,041"
2015年度,茨城県 桜川市,-,-,"1,470"
2015年度,茨城県 神栖市,"21,814",4.55,"6,516"
2015年度,茨城県 行方市,-,-,"1,265"
2015年度,茨城県 鉾田市,-,-,X
2015年度,茨城県 つくばみらい市,"9,303",1.19,"1,110"
2015年度,茨城県 小美玉市,-,-,"1,664"
2015年度,茨城県 茨城町,-,-,620
2015年度,茨城県 大洗町,"11,779",3.55,731
2015年度,茨城県 城里町,-,-,396
2015年度,茨城県 東海村,"16,224",3.52,"1,305"
2015年度,茨城県 大子町,-,-,584
2015年度,茨城県 美浦村,-,-,527
2015年度,茨城県 阿見町,"26,737",6.16,X
2015年度,茨城県 河内町,-,-,X
2015年度,茨城県 八千代町,-,-,"1,385"
2015年度,茨城県 五霞町,-,-,X
2015年度,茨城県 境町,"6,535",2.61,"1,013"
2015年度,茨城県 利根町,"6,437",1.67,305
2015年度,栃木県 宇都宮市,"385,594",71.46,"90,163"
2015年度,栃木県 足利市,"89,233",25.41,"12,366"
2015年度,栃木県 栃木市,"56,831",13.68,"9,468"
2015年度,栃木県 佐野市,"48,536",11.21,"6,097"
2015年度,栃木県 鹿沼市,"39,220",8.17,"4,950"
2015年度,栃木県 日光市,"8,165",2.54,"4,344"
2015年度,栃木県 小山市,"98,014",21.15,"15,967"
2015年度,栃木県 真岡市,"27,719",6.43,"5,342"
2015年度,栃木県 大田原市,"16,314",4.48,"4,027"
2015年度,栃木県 矢板市,"10,417",3.3,"1,595"
